Date,Open,High,Low,Close,Adj Close,Volume
2021-04-16,71.970001,72.199997,69.680000,70.120003,70.120003,9429900
2021-04-19,69.620003,69.919998,66.769997,67.940002,67.940002,18198600
2021-04-20,68.010002,68.099998,65.220001,65.699997,65.699997,14171200
2021-04-21,65.730003,67.360001,64.699997,67.330002,67.330002,11817300
2021-04-22,67.419998,67.500000,64.080002,64.309998,64.309998,16804100
2021-04-23,65.720001,67.129997,65.430000,67.019997,67.019997,12407700
2021-04-26,66.489998,67.250000,65.849998,66.720001,66.720001,11769800
2021-04-27,67.139999,68.360001,66.000000,66.010002,66.010002,10827000
2021-04-28,65.550003,66.559998,63.740002,65.699997,65.699997,13340300
2021-04-29,67.010002,67.050003,63.990002,65.089996,65.089996,31017700
2021-04-30,56.000000,57.630001,55.049999,55.220001,55.220001,88378800
2021-05-03,55.520000,55.549999,52.669998,54.580002,54.580002,79649000
2021-05-04,55.070000,55.720001,53.160000,54.400002,54.400002,30404500
2021-05-05,54.950001,54.970001,53.320000,53.560001,53.560001,19111100
2021-05-06,53.480000,53.840000,52.340000,53.810001,53.810001,19586900
2021-05-07,54.770000,54.919998,53.369999,53.790001,53.790001,21748600
2021-05-10,53.009998,53.080002,51.619999,51.810001,51.810001,17362300
2021-05-11,49.520000,53.189999,49.200001,52.880001,52.880001,16749900
2021-05-12,51.869999,52.380001,50.060001,50.700001,50.700001,17223200
2021-05-13,51.680000,51.770000,49.119999,50.110001,50.110001,14303900
2021-05-14,50.610001,51.919998,50.189999,51.730000,51.730000,9836800
2021-05-17,52.230000,52.730000,51.279999,52.599998,52.599998,21351700
2021-05-18,52.599998,55.150002,52.419998,53.189999,53.189999,23612300
2021-05-19,52.189999,53.160000,51.669998,52.919998,52.919998,21551300
2021-05-20,53.230000,54.910000,53.220001,54.709999,54.709999,12612700
2021-05-21,55.000000,55.000000,53.939999,54.450001,54.450001,12583400
2021-05-24,54.900002,57.330002,54.660000,57.060001,57.060001,25656400
2021-05-25,57.349998,57.639999,56.540001,57.000000,57.000000,13488900
2021-05-26,57.369999,58.610001,57.310001,57.849998,57.849998,15984400
2021-05-27,57.639999,58.299999,57.029999,58.080002,58.080002,9113900
2021-05-28,58.200001,58.560001,57.830002,58.000000,58.000000,8752700
2021-06-01,58.200001,58.200001,56.270000,57.439999,57.439999,13122700
2021-06-02,57.279999,57.639999,56.320000,57.160000,57.160000,9472900
2021-06-03,56.959999,58.669998,55.830002,57.009998,57.009998,21985700
2021-06-04,57.410000,59.299999,57.320000,59.000000,59.000000,12256100
2021-06-07,58.619999,59.830002,57.720001,59.630001,59.630001,10538600
2021-06-08,59.790001,60.090000,57.820000,58.810001,58.810001,12772900
2021-06-09,59.590000,61.049999,59.410000,59.709999,59.709999,16163600
2021-06-10,59.799999,60.380001,58.740002,60.299999,60.299999,8717500
2021-06-11,59.950001,60.630001,59.869999,60.500000,60.500000,6980400
2021-06-14,60.849998,61.549999,60.450001,60.830002,60.830002,9316600
2021-06-15,61.090000,61.320000,60.189999,60.230000,60.230000,9579900
2021-06-16,60.119999,61.150002,59.150002,59.930000,59.930000,9336500
2021-06-17,59.610001,61.619999,59.529999,60.709999,60.709999,10201300
2021-06-18,60.200001,60.970001,59.529999,60.849998,60.849998,13273000
2021-06-21,60.849998,62.090000,59.740002,61.959999,61.959999,12027100
2021-06-22,61.919998,64.050003,61.910000,63.779999,63.779999,16686200
2021-06-23,63.910000,66.769997,63.790001,66.489998,66.489998,18548000
2021-06-24,66.750000,68.739998,66.750000,68.250000,68.250000,23144800
2021-06-25,68.290001,68.919998,67.279999,67.930000,67.930000,13896900
2021-06-28,68.160004,68.629997,67.080002,68.290001,68.290001,11176100
2021-06-29,68.279999,69.379997,67.930000,69.000000,69.000000,9526400
2021-06-30,68.760002,69.120003,68.250000,68.809998,68.809998,9752900
2021-07-01,68.570000,70.000000,67.370003,68.110001,68.110001,9978800
2021-07-02,68.709999,69.290001,68.430000,69.199997,69.199997,8095600
2021-07-06,69.349998,70.930000,69.230003,70.209999,70.209999,12317400
2021-07-07,70.629997,70.849998,68.709999,68.760002,68.760002,10609300
2021-07-08,67.000000,67.610001,66.239998,66.830002,66.830002,12782500
2021-07-09,67.070000,69.010002,66.980003,68.970001,68.970001,14393700
2021-07-12,69.459999,70.440002,68.800003,69.860001,69.860001,9223600
2021-07-13,69.540001,70.870003,69.260002,69.599998,69.599998,9992700
2021-07-14,70.419998,72.070000,70.089996,70.269997,70.269997,21555900
2021-07-15,70.099998,70.160004,67.410004,68.070000,68.070000,14933800
2021-07-16,68.559998,69.279999,66.139999,66.410004,66.410004,14271100
2021-07-19,65.239998,66.730003,64.650002,66.019997,66.019997,15830100
2021-07-20,66.250000,68.540001,65.820000,67.940002,67.940002,11583900
2021-07-21,67.589996,69.769997,67.550003,69.540001,69.540001,10082900
2021-07-22,68.639999,70.129997,68.510002,69.570000,69.570000,24130400
2021-07-23,72.199997,73.339996,69.879997,71.690002,71.690002,44275800
2021-07-26,71.250000,71.250000,67.470001,68.690002,68.690002,29185100
2021-07-27,68.320000,69.480003,66.860001,68.330002,68.330002,16988300
2021-07-28,68.389999,71.919998,67.760002,69.959999,69.959999,23203600
2021-07-29,69.500000,71.589996,69.500000,70.370003,70.370003,11630000
2021-07-30,69.830002,71.129997,69.500000,69.750000,69.750000,13214600
2021-08-02,70.230003,70.440002,68.660004,69.129997,69.129997,12040800
2021-08-03,69.870003,70.959999,68.080002,68.629997,68.629997,9221400
2021-08-04,68.680000,69.080002,67.910004,68.699997,68.699997,7578400
2021-08-05,68.849998,69.449997,68.080002,69.279999,69.279999,8634600
2021-08-06,69.300003,69.809998,66.879997,67.370003,67.370003,11451000
2021-08-09,67.500000,67.519997,66.449997,67.010002,67.010002,7938300
2021-08-10,67.199997,67.370003,65.570000,65.680000,65.680000,8995700
2021-08-11,65.790001,66.330002,64.629997,65.459999,65.459999,8630500
2021-08-12,64.809998,65.279999,64.059998,64.949997,64.949997,7959300
2021-08-13,64.989998,65.769997,64.610001,64.820000,64.820000,6078200
2021-08-16,64.339996,64.940002,62.810001,63.779999,63.779999,11987300
2021-08-17,63.340000,63.840000,62.360001,62.880001,62.880001,6950300
2021-08-18,62.849998,63.310001,62.070000,62.119999,62.119999,6891000
2021-08-19,61.590000,63.189999,61.500000,62.049999,62.049999,8508100
2021-08-20,62.130001,63.169998,61.990002,62.520000,62.520000,8594800
2021-08-23,63.200001,64.559998,63.060001,64.129997,64.129997,9962400
2021-08-24,64.839996,65.059998,63.919998,63.980000,63.980000,6133900
2021-08-25,63.950001,64.309998,63.200001,64.169998,64.169998,5470200
2021-08-26,63.959999,64.250000,62.529999,62.610001,62.610001,6379500
2021-08-27,62.720001,63.720001,62.490002,63.430000,63.430000,6330000
2021-08-30,63.700001,65.050003,63.450001,64.699997,64.699997,8071900
2021-08-31,64.519997,65.150002,64.160004,64.500000,64.500000,9157900
2021-09-01,64.650002,66.720001,64.650002,65.550003,65.550003,15284300
2021-09-02,65.970001,66.050003,64.410004,64.599998,64.599998,8589700
2021-09-03,64.430000,65.089996,63.849998,64.660004,64.660004,5060100
2021-09-07,64.709999,65.129997,64.150002,64.980003,64.980003,7149400
2021-09-08,64.940002,65.360001,62.080002,62.270000,62.270000,11767200
2021-09-09,62.360001,63.180000,62.240002,62.459999,62.459999,8168900
2021-09-10,62.950001,63.369999,61.470001,61.560001,61.560001,7026200
2021-09-13,61.299999,61.410000,58.450001,59.660000,59.660000,16851600
2021-09-14,60.070000,60.700001,59.490002,60.189999,60.189999,8240100
